,TWP_ID,ECODISTRICT_ID,YEAR,SumPcpn18_20,SumPcpn19_21,SumPcpn20_22,SumPcpn21_23,SumPcpn22_24,SumPcpn23_25,SumPcpn24_26,SumPcpn25_27,SumPcpn26_28,SumPcpn27_29,SumPcpn28_30,SumPcpn29_31,SumPcpn30_32,SumPcpn31_33,SumPcpn32_34,SumPcpn33_35,SumPcpn34_36,SumPcpn35_37,SumPcpn36_38,SumPcpn37_39,SumPcpn38_40,SumEGDD_C18_20,SumEGDD_C19_21,SumEGDD_C20_22,SumEGDD_C21_23,SumEGDD_C22_24,SumEGDD_C23_25,SumEGDD_C24_26,SumEGDD_C25_27,SumEGDD_C26_28,SumEGDD_C27_29,SumEGDD_C28_30,SumEGDD_C29_31,SumEGDD_C30_32,SumEGDD_C31_33,SumEGDD_C32_34,SumEGDD_C33_35,SumEGDD_C34_36,SumEGDD_C35_37,SumEGDD_C36_38,SumEGDD_C37_39,SumEGDD_C38_40,SumHeatD18_20,SumHeatD19_21,SumHeatD20_22,SumHeatD21_23,SumHeatD22_24,SumHeatD23_25,SumHeatD24_26,SumHeatD25_27,SumHeatD26_28,SumHeatD27_29,SumHeatD28_30,SumHeatD29_31,SumHeatD30_32,SumHeatD31_33,SumHeatD32_34,SumHeatD33_35,SumHeatD34_36,SumHeatD35_37,SumHeatD36_38,SumHeatD37_39,SumHeatD38_40,SumFrostD18_20,SumFrostD19_21,SumFrostD20_22,SumFrostD21_23,SumFrostD22_24,SumFrostD23_25,SumFrostD24_26,SumFrostD25_27,SumFrostD26_28,SumFrostD27_29,SumFrostD28_30,SumFrostD29_31,SumFrostD30_32,SumFrostD31_33,SumFrostD32_34,SumFrostD33_35,SumFrostD34_36,SumFrostD35_37,SumFrostD36_38,SumFrostD37_39,SumFrostD38_40,AvgSI18_20,AvgSI19_21,AvgSI20_22,AvgSI21_23,AvgSI22_24,AvgSI23_25,AvgSI24_26,AvgSI25_27,AvgSI26_28,AvgSI27_29,AvgSI28_30,AvgSI29_31,AvgSI30_32,AvgSI31_33,AvgSI32_34,AvgSI33_35,AvgSI34_36,AvgSI35_37,AvgSI36_38,AvgSI37_39,AvgSI38_40,AvgPrcnAWHC18_20,AvgPrcnAWHC19_21,AvgPrcnAWHC20_22,AvgPrcnAWHC21_23,AvgPrcnAWHC22_24,AvgPrcnAWHC23_25,AvgPrcnAWHC24_26,AvgPrcnAWHC25_27,AvgPrcnAWHC26_28,AvgPrcnAWHC27_29,AvgPrcnAWHC28_30,AvgPrcnAWHC29_31,AvgPrcnAWHC30_32,AvgPrcnAWHC31_33,AvgPrcnAWHC32_34,AvgPrcnAWHC33_35,AvgPrcnAWHC34_36,AvgPrcnAWHC35_37,AvgPrcnAWHC36_38,AvgPrcnAWHC37_39,AvgPrcnAWHC38_40,NDVI18_20,NDVI19_21,NDVI20_22,NDVI21_23,NDVI22_24,NDVI23_25,NDVI24_26,NDVI25_27,NDVI26_28,NDVI27_29,NDVI28_30,NDVI29_31,NDVI30_32,NDVI31_33,NDVI32_34,NDVI33_35,NDVI34_36,NDVI35_37,NDVI36_38,SoilMoisture23_25,SoilMoisture24_26,SoilMoisture25_27,SoilMoisture26_28,SoilMoisture27_29,SoilMoisture28_30,SoilMoisture29_31,SoilMoisture30_32,SoilMoisture31_33,SoilMoisture32_34,SoilMoisture33_35,SoilMoisture34_36,SoilMoisture35_37,SoilMoisture36_38,SoilMoisture37_39,SoilMoisture38_40,Predicted_Yield
2996,03910W3,735.0,2010,69.3,110.9,125.7,96.5,69.4,65.5,144.2,140.8,147.3,48.6,27.3,14.5,40.8,43.5,35.0,8.1,74.3,78.4,80.5,7.6,3.9,132.45,141.7,141.55,112.9,176.25,222.25,271.7,273.75,265.1,262.25,278.3,287.55,278.7,252.9,225.95,202.45,174.45,115.65,85.9,96.15,145.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,2,0.573809523809524,0.536190476190476,0.496666666666667,0.440952380952381,0.379523809523809,0.260952380952381,0.142380952380952,0.0657142857142857,0.0238095238095238,0.0009523809523809,0.0752380952380952,0.241904761904762,0.375238095238095,0.423333333333334,0.530952380952381,0.676190476190476,0.748571428571429,0.676666666666667,0.577619047619048,0.579047619047619,0.606190476190476,0.865238095238095,0.881428571428571,0.89047619047619,0.908095238095238,0.890476190476191,0.850952380952381,0.841428571428572,0.831904761904762,0.802857142857143,0.67,0.473809523809524,0.293809523809524,0.202380952380952,0.191904761904762,0.191428571428571,0.163333333333333,0.268571428571429,0.440476190476191,0.625238095238095,0.652380952380952,0.624761904761905,0.297679126666667,0.331943448333333,0.366336920833333,0.402695367083333,0.461784106875,0.533354784375,0.605578971458333,0.657757931666667,0.689891665,0.702367071666667,0.71226625,0.698932116666667,0.67636036,0.64455098,0.615496946666667,0.575813106666667,0.53835472,0.498390576666667,0.456361963333333,20.191416422526007,20.61861673990882,21.286759694417285,20.60381062825517,20.864688237508105,18.27179940541582,16.900821685790984,16.28761482238766,17.538722674051886,17.67227935791012,15.270976702372195,15.991587003072068,17.2890742619832,22.127600351969363,22.04647000630693,22.26833152770992,606.94574
3049,04011W3,735.0,2010,63.7,105.5,109.7,77.8,43.9,46.3,46.6,37.9,58.9,112.9,98.1,102.2,40.1,55.9,22.9,17.8,40.3,51.3,51.8,13.1,1.5,122.8,133.2,128.5,106.15,171.55,212.75,252.95,249.8,241.65,237.6,252.95,265.75,266.65,235.65,208.9,181.9,162.85,109.5,82.6,86.9,132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,4,5,10,8,0.593809523809524,0.548571428571429,0.490952380952381,0.444285714285714,0.364761904761905,0.253333333333333,0.147619047619048,0.117142857142857,0.0880952380952382,0.0476190476190477,0.0085714285714285,0.008095238095238,0.0133333333333333,0.0295238095238095,0.140952380952381,0.385238095238095,0.575714285714286,0.665238095238095,0.612857142857143,0.621904761904762,0.639047619047619,0.435714285714286,0.505238095238095,0.605714285714286,0.7,0.711904761904762,0.682380952380952,0.628571428571429,0.573333333333334,0.518095238095238,0.523333333333333,0.522857142857143,0.519523809523809,0.479047619047619,0.438095238095238,0.394761904761905,0.349523809523809,0.364761904761905,0.402857142857143,0.46047619047619,0.463809523809524,0.461428571428571,0.24910267,0.275140908333333,0.302186805833333,0.3356384725,0.3923078475,0.46696618,0.57057884,0.646029106666667,0.711410016666667,0.728110833333333,0.7594583,0.7562874,0.742651813333333,0.695491403333333,0.65020909,0.59481732,0.543376306666667,0.47837565,0.41539459,19.87118784586583,20.275263468424424,20.862915039062443,19.868417739868107,20.22284380594884,18.349395751953068,17.35270754496251,16.871356328328392,17.533875783284447,17.662421544392846,15.345572471618596,16.465408007303818,17.99912039438878,22.642875035603783,22.88430531819656,22.876148223876896,752.649
3098,04111W3,735.0,2010,63.7,105.5,109.7,77.8,43.9,46.3,46.6,37.9,58.9,112.9,98.1,102.2,40.1,55.9,22.9,17.8,40.3,51.3,51.8,13.1,1.5,122.8,133.2,128.5,106.15,171.55,212.75,252.95,249.8,241.65,237.6,252.95,265.75,266.65,235.65,208.9,181.9,162.85,109.5,82.6,86.9,132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,4,5,10,8,0.593809523809524,0.548571428571429,0.490952380952381,0.444285714285714,0.364761904761905,0.253333333333333,0.147619047619048,0.117142857142857,0.0880952380952382,0.0476190476190477,0.0085714285714285,0.008095238095238,0.0133333333333333,0.0295238095238095,0.140952380952381,0.385238095238095,0.575714285714286,0.665238095238095,0.612857142857143,0.621904761904762,0.639047619047619,0.435714285714286,0.505238095238095,0.605714285714286,0.7,0.711904761904762,0.682380952380952,0.628571428571429,0.573333333333334,0.518095238095238,0.523333333333333,0.522857142857143,0.519523809523809,0.479047619047619,0.438095238095238,0.394761904761905,0.349523809523809,0.364761904761905,0.402857142857143,0.46047619047619,0.463809523809524,0.461428571428571,0.272555166666667,0.300199986666667,0.33269508,0.37215138,0.430154193333333,0.499346483333333,0.58482133,0.646101776666667,0.69339016,0.70254978,0.7243121,0.721602783333333,0.72402955,0.700826903333333,0.678980153333333,0.63349512,0.583810766666667,0.520169266666667,0.455010233333333,17.58609771728509,16.848299980163507,16.817175865173272,16.4143203099568,16.497166951497327,14.28052870432529,12.671669642130466,12.585912704467704,13.570505777994724,14.183993021647067,12.683228810628188,14.785308519999118,16.612619400024347,20.818796157836847,20.136849085489843,19.250840504964128,723.4912
3100,04112W3,735.0,2010,63.7,105.5,109.7,77.8,43.9,46.3,46.6,37.9,58.9,112.9,98.1,102.2,40.1,55.9,22.9,17.8,40.3,51.3,51.8,13.1,1.5,122.8,133.2,128.5,106.15,171.55,212.75,252.95,249.8,241.65,237.6,252.95,265.75,266.65,235.65,208.9,181.9,162.85,109.5,82.6,86.9,132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,4,5,10,8,0.593809523809524,0.548571428571429,0.490952380952381,0.444285714285714,0.364761904761905,0.253333333333333,0.147619047619048,0.117142857142857,0.0880952380952382,0.0476190476190477,0.0085714285714285,0.008095238095238,0.0133333333333333,0.0295238095238095,0.140952380952381,0.385238095238095,0.575714285714286,0.665238095238095,0.612857142857143,0.621904761904762,0.639047619047619,0.435714285714286,0.505238095238095,0.605714285714286,0.7,0.711904761904762,0.682380952380952,0.628571428571429,0.573333333333334,0.518095238095238,0.523333333333333,0.522857142857143,0.519523809523809,0.479047619047619,0.438095238095238,0.394761904761905,0.349523809523809,0.364761904761905,0.402857142857143,0.46047619047619,0.463809523809524,0.461428571428571,0.27274316,0.305516,0.3245766,0.358737923333333,0.417531473333333,0.507613881666667,0.604036825,0.688475825,0.74016865,0.750775563333333,0.754780713333333,0.74798028,0.74342565,0.704874216666667,0.66665805,0.6069873,0.550388743333333,0.47625297,0.40066435,17.20839246114088,16.2127650578816,16.155619621276784,15.599251429239835,15.76794942220045,13.600740114847747,12.12659708658847,11.88552188873284,12.8818438847859,13.47887865702304,12.244352022806732,14.368153254191007,16.336387316385835,20.32666714986158,19.67735544840488,18.605358123779222,844.6367
3102,04113W3,735.0,2010,63.7,105.5,109.7,77.8,43.9,46.3,46.6,37.9,58.9,112.9,98.1,102.2,40.1,55.9,22.9,17.8,40.3,51.3,51.8,13.1,1.5,122.8,133.2,128.5,106.15,171.55,212.75,252.95,249.8,241.65,237.6,252.95,265.75,266.65,235.65,208.9,181.9,162.85,109.5,82.6,86.9,132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,4,5,10,8,0.593809523809524,0.548571428571429,0.490952380952381,0.444285714285714,0.364761904761905,0.253333333333333,0.147619047619048,0.117142857142857,0.0880952380952382,0.0476190476190477,0.0085714285714285,0.008095238095238,0.0133333333333333,0.0295238095238095,0.140952380952381,0.385238095238095,0.575714285714286,0.665238095238095,0.612857142857143,0.621904761904762,0.639047619047619,0.435714285714286,0.505238095238095,0.605714285714286,0.7,0.711904761904762,0.682380952380952,0.628571428571429,0.573333333333334,0.518095238095238,0.523333333333333,0.522857142857143,0.519523809523809,0.479047619047619,0.438095238095238,0.394761904761905,0.349523809523809,0.364761904761905,0.402857142857143,0.46047619047619,0.463809523809524,0.461428571428571,0.318732953333333,0.358825446666667,0.402875196666667,0.44765555,0.507286326666667,0.576489181666667,0.655264115,0.713405371666667,0.7426347,0.746762566666667,0.749635766666667,0.744826633333333,0.726270966666667,0.683705616666667,0.630602716666667,0.555675413333333,0.48854103,0.421796818333333,0.368983365,18.15589904785149,17.08329614003493,17.38642787933343,17.705850919087663,18.35387229919427,16.29539330800368,14.30739529927565,13.722740173339778,14.320822715759212,14.37310377756748,13.084435145060157,15.441781997680598,17.30762640635166,21.146492640177343,20.183134078979425,19.46593666076653,897.61066
3154,04213W3,735.0,2010,63.7,105.5,109.7,77.8,43.9,46.3,46.6,37.9,58.9,112.9,98.1,102.2,40.1,55.9,22.9,17.8,40.3,51.3,51.8,13.1,1.5,122.8,133.2,128.5,106.15,171.55,212.75,252.95,249.8,241.65,237.6,252.95,265.75,266.65,235.65,208.9,181.9,162.85,109.5,82.6,86.9,132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,4,5,10,8,0.593809523809524,0.548571428571429,0.490952380952381,0.444285714285714,0.364761904761905,0.253333333333333,0.147619047619048,0.117142857142857,0.0880952380952382,0.0476190476190477,0.0085714285714285,0.008095238095238,0.0133333333333333,0.0295238095238095,0.140952380952381,0.385238095238095,0.575714285714286,0.665238095238095,0.612857142857143,0.621904761904762,0.639047619047619,0.435714285714286,0.505238095238095,0.605714285714286,0.7,0.711904761904762,0.682380952380952,0.628571428571429,0.573333333333334,0.518095238095238,0.523333333333333,0.522857142857143,0.519523809523809,0.479047619047619,0.438095238095238,0.394761904761905,0.349523809523809,0.364761904761905,0.402857142857143,0.46047619047619,0.463809523809524,0.461428571428571,0.252401923333333,0.280547096666667,0.308344178333333,0.342581505,0.398431678333333,0.477881665,0.580931465,0.677698541666667,0.731157653333333,0.74422332,0.738572866666667,0.732689413333333,0.729350213333333,0.7033479,0.669910653333333,0.60407412,0.542055326666667,0.460984426666667,0.380134,18.06625111897779,16.885163625081304,17.180518468220953,17.596193313598558,18.26832453409823,16.236128489176355,14.17856057484937,13.59869225819898,14.1570043563842,14.18455028533928,12.936976432800217,15.365361213684006,17.288382848103765,21.10598754882805,20.06600062052401,19.32939974466952,836.46924
3156,04214W3,735.0,2010,63.7,105.5,109.7,77.8,43.9,46.3,46.6,37.9,58.9,112.9,98.1,102.2,40.1,55.9,22.9,17.8,40.3,51.3,51.8,13.1,1.5,122.8,133.2,128.5,106.15,171.55,212.75,252.95,249.8,241.65,237.6,252.95,265.75,266.65,235.65,208.9,181.9,162.85,109.5,82.6,86.9,132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,4,5,10,8,0.593809523809524,0.548571428571429,0.490952380952381,0.444285714285714,0.364761904761905,0.253333333333333,0.147619047619048,0.117142857142857,0.0880952380952382,0.0476190476190477,0.0085714285714285,0.008095238095238,0.0133333333333333,0.0295238095238095,0.140952380952381,0.385238095238095,0.575714285714286,0.665238095238095,0.612857142857143,0.621904761904762,0.639047619047619,0.435714285714286,0.505238095238095,0.605714285714286,0.7,0.711904761904762,0.682380952380952,0.628571428571429,0.573333333333334,0.518095238095238,0.523333333333333,0.522857142857143,0.519523809523809,0.479047619047619,0.438095238095238,0.394761904761905,0.349523809523809,0.364761904761905,0.402857142857143,0.46047619047619,0.463809523809524,0.461428571428571,0.26262449,0.290460283333333,0.323716828333333,0.362740205,0.424958135,0.505757083333333,0.608092156666667,0.683718383333333,0.729699566666667,0.743530866666667,0.7531746,0.741081333333333,0.721813716666667,0.688427795,0.650917685,0.589572666666667,0.523529845,0.454154671666667,0.38614495,18.37479591369621,17.186507542927984,17.511131922403894,18.020423253377203,18.86112531026197,16.788120587666754,14.618815422058027,13.910951296488369,14.499903996785406,14.522687276204351,13.220880826314216,15.57709916432691,17.35626888275139,21.10403188069654,20.056320826212488,19.43904558817538,835.3455
3158,04215W3,735.0,2010,63.7,105.5,109.7,77.8,43.9,46.3,46.6,37.9,58.9,112.9,98.1,102.2,40.1,55.9,22.9,17.8,40.3,51.3,51.8,13.1,1.5,122.8,133.2,128.5,106.15,171.55,212.75,252.95,249.8,241.65,237.6,252.95,265.75,266.65,235.65,208.9,181.9,162.85,109.5,82.6,86.9,132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,4,5,10,8,0.593809523809524,0.548571428571429,0.490952380952381,0.444285714285714,0.364761904761905,0.253333333333333,0.147619047619048,0.117142857142857,0.0880952380952382,0.0476190476190477,0.0085714285714285,0.008095238095238,0.0133333333333333,0.0295238095238095,0.140952380952381,0.385238095238095,0.575714285714286,0.665238095238095,0.612857142857143,0.621904761904762,0.639047619047619,0.435714285714286,0.505238095238095,0.605714285714286,0.7,0.711904761904762,0.682380952380952,0.628571428571429,0.573333333333334,0.518095238095238,0.523333333333333,0.522857142857143,0.519523809523809,0.479047619047619,0.438095238095238,0.394761904761905,0.349523809523809,0.364761904761905,0.402857142857143,0.46047619047619,0.463809523809524,0.461428571428571,0.317389656666667,0.363945566666667,0.40394425,0.44133205,0.498806116666667,0.565373416666667,0.640754483333333,0.699498466666667,0.73648385,0.743065196666667,0.74902676,0.743748993333333,0.738625113333333,0.712660716666667,0.67647535,0.622081425,0.562168225,0.496270521666667,0.42990759,20.468988418579027,19.4618892669677,19.47985458374016,19.40926869710279,21.38097000122063,18.525476773579843,16.01072374979648,14.362366994221937,16.15293280283603,17.166680971781343,15.276527086893644,16.237419446309335,16.359064737955656,19.54510625203444,19.05248324076328,19.241177241007414,827.8564
3209,04313W3,735.0,2010,63.7,105.5,109.7,77.8,43.9,46.3,46.6,37.9,58.9,112.9,98.1,102.2,40.1,55.9,22.9,17.8,40.3,51.3,51.8,13.1,1.5,122.8,133.2,128.5,106.15,171.55,212.75,252.95,249.8,241.65,237.6,252.95,265.75,266.65,235.65,208.9,181.9,162.85,109.5,82.6,86.9,132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,4,5,10,8,0.593809523809524,0.548571428571429,0.490952380952381,0.444285714285714,0.364761904761905,0.253333333333333,0.147619047619048,0.117142857142857,0.0880952380952382,0.0476190476190477,0.0085714285714285,0.008095238095238,0.0133333333333333,0.0295238095238095,0.140952380952381,0.385238095238095,0.575714285714286,0.665238095238095,0.612857142857143,0.621904761904762,0.639047619047619,0.435714285714286,0.505238095238095,0.605714285714286,0.7,0.711904761904762,0.682380952380952,0.628571428571429,0.573333333333334,0.518095238095238,0.523333333333333,0.522857142857143,0.519523809523809,0.479047619047619,0.438095238095238,0.394761904761905,0.349523809523809,0.364761904761905,0.402857142857143,0.46047619047619,0.463809523809524,0.461428571428571,0.23438137,0.259343283333333,0.28111683,0.32333118,0.38059937,0.458173323333333,0.558063166666667,0.647338566666667,0.717547233333333,0.741251966666667,0.755919156666667,0.751877856666667,0.745616556666667,0.710985666666667,0.6692657,0.593317766666667,0.520351493333333,0.438602056666667,0.36909309,18.06236712137856,16.88791688283282,17.281609535217257,17.76384957631426,18.51811917622881,16.463653882344534,14.320796330769827,13.691879272460907,14.22809664408363,14.245299657185845,12.970962842305472,15.447671254475884,17.368251482645643,21.24331029256182,20.16675186157224,19.46918296813962,856.91876
3211,04314W3,735.0,2010,63.7,105.5,109.7,77.8,43.9,46.3,46.6,37.9,58.9,112.9,98.1,102.2,40.1,55.9,22.9,17.8,40.3,51.3,51.8,13.1,1.5,122.8,133.2,128.5,106.15,171.55,212.75,252.95,249.8,241.65,237.6,252.95,265.75,266.65,235.65,208.9,181.9,162.85,109.5,82.6,86.9,132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,4,5,10,8,0.593809523809524,0.548571428571429,0.490952380952381,0.444285714285714,0.364761904761905,0.253333333333333,0.147619047619048,0.117142857142857,0.0880952380952382,0.0476190476190477,0.0085714285714285,0.008095238095238,0.0133333333333333,0.0295238095238095,0.140952380952381,0.385238095238095,0.575714285714286,0.665238095238095,0.612857142857143,0.621904761904762,0.639047619047619,0.435714285714286,0.505238095238095,0.605714285714286,0.7,0.711904761904762,0.682380952380952,0.628571428571429,0.573333333333334,0.518095238095238,0.523333333333333,0.522857142857143,0.519523809523809,0.479047619047619,0.438095238095238,0.394761904761905,0.349523809523809,0.364761904761905,0.402857142857143,0.46047619047619,0.463809523809524,0.461428571428571,0.232454833333333,0.242788833333333,0.267962985,0.305352675,0.371572105,0.46581047,0.586731763333333,0.695912573333333,0.74938845,0.761035016666667,0.757345083333333,0.75581935,0.744167766666667,0.698448966666667,0.64685228,0.57204817,0.49887737,0.404282503333333,0.325064933333333,18.42790540059405,17.296845436096163,17.658507982889784,17.957861264546683,18.97734578450518,16.713418642679823,14.493095080057753,13.654149055480929,14.487675031026177,14.78213373819984,13.363487561543756,15.50796953837074,17.025941530863417,20.774240493774386,19.862183888753226,19.362592697143526,951.6845
