,features,importance
2,SumPcpn22_24,59.04180809315816
6,SumEGDD_C28_30,52.09620924775983
18,SoilMoisture24_26,48.548159233498644
20,SoilMoisture33_35,40.48671529525363
4,SumPcpn38_40,26.66049147059788
10,SumHeatD31_33,26.459697661586738
15,NDVI26_28,24.983735077055538
17,NDVI32_34,24.27860858572641
3,SumPcpn33_35,23.562739396393624
19,SoilMoisture32_34,17.199267507557863
16,NDVI30_32,17.06746646496499
9,SumHeatD25_27,13.587737615005938
14,NDVI25_27,8.306788595479384
5,SumEGDD_C21_23,7.917641641973531
0,SumPcpn18_20,7.889943748727592
11,SumHeatD32_34,7.348495976216296
1,SumPcpn21_23,6.699001607656086
13,NDVI20_22,6.19651884955532
8,SumHeatD19_21,3.7701451766279495
7,SumEGDD_C38_40,2.060401637423917
12,SumFrostD37_39,1.6022443684941288
