,TWP_ID,ECODISTRICT_ID,YEAR,SumPcpn18_20,SumPcpn19_21,SumPcpn20_22,SumPcpn21_23,SumPcpn22_24,SumPcpn23_25,SumPcpn24_26,SumPcpn25_27,SumPcpn26_28,SumPcpn27_29,SumPcpn28_30,SumPcpn29_31,SumPcpn30_32,SumPcpn31_33,SumPcpn32_34,SumPcpn33_35,SumPcpn34_36,SumPcpn35_37,SumPcpn36_38,SumPcpn37_39,SumPcpn38_40,SumEGDD_C18_20,SumEGDD_C19_21,SumEGDD_C20_22,SumEGDD_C21_23,SumEGDD_C22_24,SumEGDD_C23_25,SumEGDD_C24_26,SumEGDD_C25_27,SumEGDD_C26_28,SumEGDD_C27_29,SumEGDD_C28_30,SumEGDD_C29_31,SumEGDD_C30_32,SumEGDD_C31_33,SumEGDD_C32_34,SumEGDD_C33_35,SumEGDD_C34_36,SumEGDD_C35_37,SumEGDD_C36_38,SumEGDD_C37_39,SumEGDD_C38_40,SumHeatD18_20,SumHeatD19_21,SumHeatD20_22,SumHeatD21_23,SumHeatD22_24,SumHeatD23_25,SumHeatD24_26,SumHeatD25_27,SumHeatD26_28,SumHeatD27_29,SumHeatD28_30,SumHeatD29_31,SumHeatD30_32,SumHeatD31_33,SumHeatD32_34,SumHeatD33_35,SumHeatD34_36,SumHeatD35_37,SumHeatD36_38,SumHeatD37_39,SumHeatD38_40,SumFrostD18_20,SumFrostD19_21,SumFrostD20_22,SumFrostD21_23,SumFrostD22_24,SumFrostD23_25,SumFrostD24_26,SumFrostD25_27,SumFrostD26_28,SumFrostD27_29,SumFrostD28_30,SumFrostD29_31,SumFrostD30_32,SumFrostD31_33,SumFrostD32_34,SumFrostD33_35,SumFrostD34_36,SumFrostD35_37,SumFrostD36_38,SumFrostD37_39,SumFrostD38_40,AvgSI18_20,AvgSI19_21,AvgSI20_22,AvgSI21_23,AvgSI22_24,AvgSI23_25,AvgSI24_26,AvgSI25_27,AvgSI26_28,AvgSI27_29,AvgSI28_30,AvgSI29_31,AvgSI30_32,AvgSI31_33,AvgSI32_34,AvgSI33_35,AvgSI34_36,AvgSI35_37,AvgSI36_38,AvgSI37_39,AvgSI38_40,AvgPrcnAWHC18_20,AvgPrcnAWHC19_21,AvgPrcnAWHC20_22,AvgPrcnAWHC21_23,AvgPrcnAWHC22_24,AvgPrcnAWHC23_25,AvgPrcnAWHC24_26,AvgPrcnAWHC25_27,AvgPrcnAWHC26_28,AvgPrcnAWHC27_29,AvgPrcnAWHC28_30,AvgPrcnAWHC29_31,AvgPrcnAWHC30_32,AvgPrcnAWHC31_33,AvgPrcnAWHC32_34,AvgPrcnAWHC33_35,AvgPrcnAWHC34_36,AvgPrcnAWHC35_37,AvgPrcnAWHC36_38,AvgPrcnAWHC37_39,AvgPrcnAWHC38_40,NDVI18_20,NDVI19_21,NDVI20_22,NDVI21_23,NDVI22_24,NDVI23_25,NDVI24_26,NDVI25_27,NDVI26_28,NDVI27_29,NDVI28_30,NDVI29_31,NDVI30_32,NDVI31_33,NDVI32_34,NDVI33_35,NDVI34_36,NDVI35_37,NDVI36_38,SoilMoisture23_25,SoilMoisture24_26,SoilMoisture25_27,SoilMoisture26_28,SoilMoisture27_29,SoilMoisture28_30,SoilMoisture29_31,SoilMoisture30_32,SoilMoisture31_33,SoilMoisture32_34,SoilMoisture33_35,SoilMoisture34_36,SoilMoisture35_37,SoilMoisture36_38,SoilMoisture37_39,SoilMoisture38_40,Predicted_Yield
19233,00302W1,852.0,2015,112.2,108.4,113.5,67.9,112.2,110.2,70.5,52.1,41.2,37.3,37.7,34.8,39.3,13.2,43.8,58.2,135.4,103.7,89.5,35.1,42.7,109.7,106.65,138.1,189.75,241.5,251.0,280.3,282.6,313.1,320.1,333.1,340.15,320.4,327.35,295.35,296.35,285.9,274.25,253.55,218.75,192.0,0,0,0,0,0,0,0,1,2,3,4,4,3,6,5,6,4,5,4,2,1,8,9,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.672380952380952,0.627619047619048,0.59,0.536666666666667,0.491904761904762,0.414285714285714,0.296190476190476,0.209047619047619,0.125238095238095,0.145714285714286,0.215714285714286,0.30952380952381,0.443333333333333,0.56952380952381,0.742380952380952,0.753333333333333,0.682380952380952,0.567619047619048,0.567619047619048,0.566190476190476,0.562857142857143,0.330952380952381,0.498571428571429,0.656666666666667,0.782380952380952,0.836666666666667,0.882857142857143,0.852857142857143,0.741428571428571,0.62047619047619,0.452380952380952,0.342380952380952,0.225714285714286,0.166190476190476,0.0976190476190476,0.0780952380952381,0.168095238095238,0.378571428571429,0.641428571428571,0.809523809523809,0.89047619047619,0.898571428571428,0.2375574,0.258481296666667,0.299630266666667,0.370882973333333,0.47799284,0.58742258,0.6787716,0.720325666666667,0.766085413333333,0.799477713333333,0.825039213333333,0.80264702,0.730946586666667,0.640617686666667,0.546809213333333,0.48237889,0.44382453,0.43929185,0.42397288,21.051080703735376,21.196943283081083,18.379970868428572,18.12005583445234,17.43699042002363,18.20935058593753,18.24347114562991,17.02933375040693,15.44683011372887,13.52422173817955,16.680694262186712,22.74302323659264,27.10942268371585,26.445812861124704,23.04340616861982,20.27978833516441,1079.547178742431
475,00706W1,852.0,2010,67.8,97.9,98.0,99.8,40.2,59.2,47.6,32.0,19.6,24.2,58.6,49.6,91.4,57.4,61.2,105.0,128.8,129.4,66.7,39.7,33.1,137.35,193.9,214.8,195.25,219.5,248.45,285.25,295.65,294.25,287.9,300.65,311.15,322.65,296.65,284.9,237.85,211.6,149.45,124.7,118.95,156.0,0,0,0,0,0,0,2,2,2,0,2,3,4,4,4,3,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,7,4,0.547142857142857,0.504761904761905,0.453333333333333,0.317619047619048,0.203333333333333,0.110476190476191,0.0942857142857144,0.0742857142857144,0.0752380952380951,0.133809523809524,0.213333333333333,0.259047619047619,0.410476190476191,0.52,0.655238095238095,0.614285714285714,0.593809523809524,0.555238095238095,0.548571428571429,0.543809523809524,0.55,0.510952380952381,0.555714285714286,0.622380952380952,0.688571428571428,0.675238095238095,0.629047619047619,0.574761904761905,0.495714285714286,0.391428571428572,0.283809523809524,0.212857142857143,0.182380952380952,0.194761904761905,0.246190476190476,0.282857142857143,0.417142857142857,0.541428571428571,0.689047619047619,0.752380952380952,0.802380952380952,0.827142857142857,0.443450083333333,0.493408566666667,0.5309809,0.560378686666667,0.594605386666667,0.632695233333333,0.647966,0.663979283333333,0.679967558333333,0.712094725,0.733470341666667,0.74992301,0.749836005,0.752552985,0.725963508333333,0.702529166666667,0.680908336666667,0.66435197,0.63333155,25.44668579101567,24.66490236918136,20.687455495198616,15.415472666422572,12.044004122416226,12.921803156534878,14.993623733520556,15.45287736256922,16.01175053914393,14.575289090474492,21.007473309834847,24.549449602762905,28.151429494222054,26.70805104573573,27.360310236613003,26.659480412801155,844.7058279765434
11467,00104W1,852.0,2013,55.3,92.6,153.6,109.5,73.6,19.2,30.8,26.7,49.5,86.7,95.6,77.5,34.7,24.0,36.8,34.9,39.2,19.5,10.6,26.4,24.0,99.55,146.9,176.5,184.95,230.0,272.65,319.7,350.9,360.5,336.0,284.25,251.4,233.7,254.7,291.9,336.4,334.8,295.95,227.9,201.6,160.75,1,1,1,0,0,0,2,6,9,7,3,0,0,0,4,8,10,6,2,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0.608571428571429,0.607142857142857,0.587619047619048,0.529523809523809,0.519523809523809,0.497619047619047,0.39047619047619,0.334761904761905,0.240952380952381,0.226190476190476,0.117142857142857,0.0685714285714287,0.0895238095238097,0.23,0.489047619047619,0.64047619047619,0.708095238095238,0.636190476190476,0.663333333333333,0.681904761904762,0.664761904761905,0.837142857142857,0.84,0.869047619047619,0.877142857142857,0.825714285714286,0.737142857142857,0.652380952380953,0.52,0.41047619047619,0.387142857142857,0.438095238095238,0.457142857142857,0.371904761904762,0.233809523809524,0.144285714285714,0.138095238095238,0.178571428571429,0.223333333333333,0.202857142857143,0.204285714285714,0.235238095238095,0.263435543333333,0.278233666666667,0.307900426666667,0.349848326666667,0.390897313333333,0.427506893333333,0.496492346666667,0.558926403333333,0.659856396666667,0.726376153333333,0.7877536,0.795082986666667,0.789653376666667,0.78705722,0.7752674,0.746990683333333,0.70149425,0.64957075,0.60219968,15.972949345906562,14.027898788452134,11.184540748596175,12.681373914082831,14.452575365702296,18.4602216084798,18.379338264465314,16.370457649230943,13.15339342753091,12.3058837254842,13.370164553324368,15.85301017761229,17.42354075113931,13.624247233072902,12.34927622477212,12.704112370808906,1048.3514289304737
19305,00403W1,852.0,2015,87.6,83.9,80.4,49.7,63.7,72.6,48.3,49.6,46.2,61.0,83.9,75.8,47.3,9.2,37.7,31.7,60.5,29.8,37.4,39.0,46.1,110.45,109.65,143.5,204.35,251.9,262.15,287.1,287.9,313.15,322.5,335.2,345.6,323.35,329.65,297.9,299.55,289.95,282.45,265.0,231.1,199.2,1,0,1,1,1,0,1,1,3,4,6,4,2,5,5,6,4,5,4,2,1,9,9,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.693333333333333,0.608571428571429,0.547142857142857,0.498095238095238,0.409523809523809,0.272857142857143,0.163809523809524,0.148571428571428,0.178571428571428,0.197619047619047,0.211428571428571,0.214761904761905,0.287619047619048,0.543333333333333,0.766190476190476,0.827619047619048,0.720952380952381,0.614761904761905,0.617142857142857,0.595714285714286,0.587142857142857,0.29047619047619,0.411428571428571,0.496190476190476,0.568095238095238,0.599047619047619,0.614761904761905,0.563809523809524,0.431904761904762,0.310952380952381,0.249523809523809,0.253333333333333,0.270476190476191,0.21,0.122380952380952,0.0900000000000001,0.148571428571429,0.237619047619048,0.33,0.367142857142857,0.446666666666667,0.52,0.25733355,0.277746403333333,0.314780626666667,0.370253613333333,0.483156443333333,0.592755903333333,0.69996485,0.750357066666667,0.7883351,0.815730346666667,0.824893246666667,0.79620119,0.72069206,0.61789731,0.528847086666667,0.46738568,0.43677563,0.429208086666667,0.409565196666667,15.25919818878178,15.938979784647666,14.110756556193076,14.87954934438074,14.571481386820516,15.942911783854209,17.027812321980836,16.174058278401734,14.97426509857182,12.902369817098023,14.81952222188318,17.921608289082887,20.657104492187543,18.830988566080773,15.99276955922449,14.573952356974326,1089.3884191537436
7848,00403W1,852.0,2012,34.9,42.5,38.4,68.1,73.5,79.6,32.7,56.7,62.9,71.7,27.6,25.4,18.2,24.0,9.9,9.4,4.0,2.5,2.2,1.8,27.3,184.3,183.05,177.75,214.95,246.55,266.05,272.0,312.8,356.25,361.8,351.9,334.5,316.8,284.35,292.2,301.85,296.0,242.3,157.5,141.95,104.8,1,1,1,2,2,2,2,4,9,9,9,5,3,1,4,7,7,5,2,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,8,10,11,0.586190476190476,0.567619047619048,0.527142857142857,0.48,0.407619047619048,0.285238095238095,0.17952380952381,0.114285714285714,0.0947619047619048,0.0738095238095238,0.184761904761905,0.431428571428572,0.586190476190476,0.732380952380952,0.775238095238095,0.892857142857143,0.910952380952381,0.925238095238095,0.930952380952381,0.94,0.887142857142857,0.643333333333333,0.646190476190476,0.653809523809524,0.675714285714286,0.732857142857143,0.772380952380953,0.722380952380953,0.643333333333334,0.521904761904762,0.441904761904762,0.271428571428571,0.156666666666667,0.0776190476190476,0.0628571428571429,0.0519047619047619,0.0461904761904762,0.0419047619047619,0.0361904761904762,0.0333333333333333,0.0295238095238095,0.0733333333333332,0.297852093333333,0.358788613333333,0.4333545,0.509516013333333,0.598796696666667,0.670592396666667,0.73534365,0.760425116666667,0.77644095,0.7644257,0.72228586,0.65636584,0.582685155,0.518843395,0.476948881666667,0.422640463333333,0.36916908,0.303960106666667,0.265966,17.375339508056683,14.86250702540084,10.185166517893515,5.660270849863731,8.05938529968266,6.920024474461916,7.679671208063802,7.993113756179852,12.27813529968266,12.399058341980025,9.73612165451054,6.316466808319134,5.786858876546266,6.900029341379844,6.511299610137982,7.037382443745973,685.4403773512156
34518,00305W1,852.0,2019,20.9,32.1,24.4,38.6,33.6,49.0,41.5,32.2,75.9,72.0,68.2,9.1,12.4,29.1,46.3,43.0,45.7,66.4,107.4,130.8,131.1,69.9,105.05,150.85,216.75,237.2,253.1,264.2,298.75,334.3,330.95,348.1,344.45,337.2,309.55,287.0,257.7,228.35,192.25,212.7,189.2,143.0,0,0,1,4,4,3,0,0,2,2,2,5,6,6,1,0,0,0,0,0,0,10,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.703333333333333,0.697619047619048,0.670952380952381,0.628571428571429,0.576190476190476,0.466666666666667,0.342380952380952,0.248571428571429,0.192857142857143,0.163809523809524,0.142380952380952,0.226190476190476,0.437142857142857,0.555238095238095,0.704285714285714,0.687142857142857,0.726190476190476,0.638095238095238,0.603333333333333,0.567619047619048,0.552380952380952,0.411428571428571,0.415714285714286,0.424761904761905,0.417142857142857,0.412857142857143,0.409523809523809,0.396666666666666,0.346190476190476,0.32,0.308571428571429,0.284285714285714,0.195238095238095,0.099047619047619,0.0704761904761904,0.0747619047619047,0.124285714285714,0.162380952380953,0.256190476190476,0.35,0.494285714285714,0.657142857142857,0.3113123,0.323510666666667,0.342113583333333,0.376811363333333,0.422511933333333,0.47451571,0.541497393333333,0.613626563333333,0.704866663333333,0.77203027,0.808822856666667,0.79846909,0.759835783333333,0.724236363333333,0.67896173,0.646522713333333,0.61691488,0.591714146666667,0.573261013333333,11.809006214141863,13.051446914672873,12.981384913126648,11.021537780761738,12.295133590698262,10.975820859273291,9.442408084869404,6.881223678588886,9.659900665283224,10.476311524709084,13.894545555114766,14.361919720967627,18.47524134318036,18.85200373331708,22.409016291300475,25.337515513102232,1114.3325252795885
299,00506W1,852.0,2010,58.6,73.4,76.2,89.4,37.6,56.0,39.2,31.0,15.2,31.0,52.7,48.4,66.6,40.3,42.7,89.7,119.4,116.9,68.7,38.1,35.1,156.9,210.1,223.45,184.4,212.2,242.95,278.85,290.2,287.8,291.3,305.2,326.0,337.35,316.55,302.05,254.75,219.4,155.4,125.0,123.45,163.1,0,0,0,0,0,0,2,2,2,0,2,3,6,6,7,4,2,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0.531428571428572,0.490952380952381,0.420476190476191,0.285238095238095,0.171904761904762,0.114761904761905,0.103333333333334,0.0900000000000001,0.112380952380952,0.174761904761905,0.263333333333333,0.322380952380952,0.453333333333333,0.557142857142857,0.671428571428572,0.646190476190476,0.613333333333333,0.563333333333333,0.558095238095238,0.557142857142857,0.562380952380952,0.59,0.614285714285714,0.655238095238095,0.698571428571429,0.67,0.614285714285714,0.548571428571429,0.461904761904762,0.347142857142857,0.246666666666667,0.182857142857143,0.16,0.166666666666667,0.193809523809524,0.209047619047619,0.317142857142857,0.441428571428571,0.59,0.656666666666667,0.704285714285714,0.728571428571429,0.361838786666667,0.423460376666667,0.48724542,0.54112926,0.591347253333333,0.6378994,0.677314246666667,0.703480746666667,0.72464109,0.73915581,0.741246243333333,0.727539043333333,0.682661573333333,0.64223526,0.57576116,0.532838156666667,0.503257623333333,0.493662853333333,0.494911106666667,22.51292737325038,20.322292963663795,17.21711985270188,13.24731922149664,11.73919328053798,13.264202435811418,14.446071942647356,14.5391464233399,14.010954538981174,13.75789388020839,19.924638430277565,23.87150796254481,27.57315381368007,24.90489323933925,25.371486028035537,23.011252085367897,952.3011641475146
11604,00305W1,852.0,2013,59.9,103.1,173.6,122.0,75.8,14.4,24.3,24.2,51.5,79.7,88.9,72.4,34.6,23.1,7.1,34.1,35.6,38.5,11.0,32.8,27.3,100.15,145.75,174.0,181.45,225.8,268.7,313.3,346.05,356.9,333.6,283.35,251.4,234.8,253.1,291.95,336.15,336.3,295.5,230.15,204.2,164.4,1,1,1,0,0,0,1,4,4,3,0,0,0,0,4,7,9,5,2,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0.624285714285715,0.609047619047619,0.581428571428572,0.553809523809524,0.545714285714286,0.535714285714286,0.493333333333334,0.370952380952381,0.256190476190476,0.129047619047619,0.0780952380952382,0.0223809523809524,0.0147619047619048,0.0523809523809522,0.129523809523809,0.221904761904762,0.41,0.573333333333333,0.720952380952381,0.742857142857143,0.708095238095238,0.544761904761905,0.622857142857143,0.730952380952381,0.831904761904762,0.820952380952381,0.76952380952381,0.719047619047619,0.654761904761905,0.597142857142857,0.564285714285714,0.567619047619048,0.561428571428572,0.505238095238095,0.412857142857143,0.312380952380952,0.226190476190476,0.195238095238095,0.205238095238095,0.219523809523809,0.23,0.257142857142857,0.263765845,0.284647195,0.316383515,0.349742183333333,0.392507558333333,0.4493245425,0.5322928525,0.627159749166667,0.715558265,0.761746301666667,0.797140813333333,0.80254663,0.81370585,0.798441716666667,0.773653433333333,0.721575966666667,0.675219866666667,0.630861033333333,0.596521533333333,15.982906659444197,14.175788561503111,11.902778148651144,12.944930871327736,13.456596215566018,16.983198483785014,17.41364892323814,16.54460811614992,13.917812983195006,13.245693524678568,13.319135348002137,14.745224634806334,16.246154149373393,13.60695457458498,13.587535858154316,14.07418123881024,1086.3004049782917
34587,00405W1,852.0,2019,20.9,32.1,24.4,38.6,33.6,49.0,41.5,32.2,75.9,72.0,68.2,9.1,12.4,29.1,46.3,43.0,45.7,66.4,107.4,130.8,131.1,69.9,105.05,150.85,216.75,237.2,253.1,264.2,298.75,334.3,330.95,348.1,344.45,337.2,309.55,287.0,257.7,228.35,192.25,212.7,189.2,143.0,0,0,1,4,4,3,0,0,2,2,2,5,6,6,1,0,0,0,0,0,0,10,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.703333333333333,0.697619047619048,0.670952380952381,0.628571428571429,0.576190476190476,0.466666666666667,0.342380952380952,0.248571428571429,0.192857142857143,0.163809523809524,0.142380952380952,0.226190476190476,0.437142857142857,0.555238095238095,0.704285714285714,0.687142857142857,0.726190476190476,0.638095238095238,0.603333333333333,0.567619047619048,0.552380952380952,0.411428571428571,0.415714285714286,0.424761904761905,0.417142857142857,0.412857142857143,0.409523809523809,0.396666666666666,0.346190476190476,0.32,0.308571428571429,0.284285714285714,0.195238095238095,0.099047619047619,0.0704761904761904,0.0747619047619047,0.124285714285714,0.162380952380953,0.256190476190476,0.35,0.494285714285714,0.657142857142857,0.26932572,0.295702366666667,0.31487864,0.343007653333333,0.379039316666667,0.436000981666667,0.512800035,0.600793281666667,0.693967703333333,0.76859029,0.8105133,0.807510166666667,0.770092966666667,0.723804153333333,0.66916642,0.618816386666667,0.576678966666667,0.540207566666667,0.512397186666667,10.773221015930224,11.912527402242072,11.981611251831104,9.622329076131232,11.875183423360236,10.744321505228726,8.851277510325161,4.774436553319343,7.220708449681648,8.077041387558031,12.524365743001349,13.290740648905484,17.122151056925503,17.10192807515467,21.048760096232144,25.054784138997444,1157.8636644281548
213,00404W1,852.0,2010,68.4,73.2,70.8,62.1,29.9,53.3,51.6,39.2,39.6,61.2,95.8,68.0,62.2,27.6,28.8,71.3,100.5,99.6,69.7,39.3,37.4,133.3,189.3,212.75,192.15,220.85,253.55,293.5,309.9,309.95,309.45,320.95,334.15,344.15,319.6,305.0,254.95,220.15,158.5,129.75,128.55,168.2,0,0,0,0,0,0,2,3,3,1,2,3,6,6,6,3,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0.548571428571428,0.514761904761905,0.485238095238095,0.45,0.336666666666667,0.218571428571428,0.104285714285714,0.0757142857142859,0.0580952380952382,0.0414285714285714,0.0604761904761905,0.0680952380952381,0.135714285714286,0.339047619047619,0.559047619047619,0.661904761904762,0.623809523809524,0.568571428571429,0.561428571428572,0.55952380952381,0.565238095238095,0.85047619047619,0.867142857142857,0.858095238095238,0.853333333333333,0.78952380952381,0.74952380952381,0.690952380952381,0.616190476190476,0.521904761904762,0.449047619047619,0.428095238095238,0.40952380952381,0.37952380952381,0.342380952380952,0.31047619047619,0.391904761904762,0.491428571428571,0.617619047619048,0.684285714285714,0.742380952380952,0.775238095238095,0.31147919,0.365237106666667,0.43561384,0.520481766666667,0.6122802,0.676436905,0.699752015,0.725634825,0.75678152,0.77840181,0.763210933333333,0.7189837,0.654996686666667,0.595994803333333,0.548563778333333,0.518217325,0.496203768333333,0.469814943333333,0.457152353333333,23.562019983927456,20.598042805989632,17.60970338185633,13.584493637085007,12.251821200052945,13.810094833374071,14.60679499308273,15.22415987650558,14.903495152791388,13.701944669087776,21.065903345743862,24.846799850463917,29.082904179891,26.408633550008187,26.63224093119308,24.242490768432663,973.6175749982705
