,TWP_ID,ECODISTRICT_ID,YEAR,SumPcpn18_20,SumPcpn19_21,SumPcpn20_22,SumPcpn21_23,SumPcpn22_24,SumPcpn23_25,SumPcpn24_26,SumPcpn25_27,SumPcpn26_28,SumPcpn27_29,SumPcpn28_30,SumPcpn29_31,SumPcpn30_32,SumPcpn31_33,SumPcpn32_34,SumPcpn33_35,SumPcpn34_36,SumPcpn35_37,SumPcpn36_38,SumPcpn37_39,SumPcpn38_40,SumEGDD_C18_20,SumEGDD_C19_21,SumEGDD_C20_22,SumEGDD_C21_23,SumEGDD_C22_24,SumEGDD_C23_25,SumEGDD_C24_26,SumEGDD_C25_27,SumEGDD_C26_28,SumEGDD_C27_29,SumEGDD_C28_30,SumEGDD_C29_31,SumEGDD_C30_32,SumEGDD_C31_33,SumEGDD_C32_34,SumEGDD_C33_35,SumEGDD_C34_36,SumEGDD_C35_37,SumEGDD_C36_38,SumEGDD_C37_39,SumEGDD_C38_40,SumHeatD18_20,SumHeatD19_21,SumHeatD20_22,SumHeatD21_23,SumHeatD22_24,SumHeatD23_25,SumHeatD24_26,SumHeatD25_27,SumHeatD26_28,SumHeatD27_29,SumHeatD28_30,SumHeatD29_31,SumHeatD30_32,SumHeatD31_33,SumHeatD32_34,SumHeatD33_35,SumHeatD34_36,SumHeatD35_37,SumHeatD36_38,SumHeatD37_39,SumHeatD38_40,SumFrostD18_20,SumFrostD19_21,SumFrostD20_22,SumFrostD21_23,SumFrostD22_24,SumFrostD23_25,SumFrostD24_26,SumFrostD25_27,SumFrostD26_28,SumFrostD27_29,SumFrostD28_30,SumFrostD29_31,SumFrostD30_32,SumFrostD31_33,SumFrostD32_34,SumFrostD33_35,SumFrostD34_36,SumFrostD35_37,SumFrostD36_38,SumFrostD37_39,SumFrostD38_40,AvgSI18_20,AvgSI19_21,AvgSI20_22,AvgSI21_23,AvgSI22_24,AvgSI23_25,AvgSI24_26,AvgSI25_27,AvgSI26_28,AvgSI27_29,AvgSI28_30,AvgSI29_31,AvgSI30_32,AvgSI31_33,AvgSI32_34,AvgSI33_35,AvgSI34_36,AvgSI35_37,AvgSI36_38,AvgSI37_39,AvgSI38_40,AvgPrcnAWHC18_20,AvgPrcnAWHC19_21,AvgPrcnAWHC20_22,AvgPrcnAWHC21_23,AvgPrcnAWHC22_24,AvgPrcnAWHC23_25,AvgPrcnAWHC24_26,AvgPrcnAWHC25_27,AvgPrcnAWHC26_28,AvgPrcnAWHC27_29,AvgPrcnAWHC28_30,AvgPrcnAWHC29_31,AvgPrcnAWHC30_32,AvgPrcnAWHC31_33,AvgPrcnAWHC32_34,AvgPrcnAWHC33_35,AvgPrcnAWHC34_36,AvgPrcnAWHC35_37,AvgPrcnAWHC36_38,AvgPrcnAWHC37_39,AvgPrcnAWHC38_40,NDVI18_20,NDVI19_21,NDVI20_22,NDVI21_23,NDVI22_24,NDVI23_25,NDVI24_26,NDVI25_27,NDVI26_28,NDVI27_29,NDVI28_30,NDVI29_31,NDVI30_32,NDVI31_33,NDVI32_34,NDVI33_35,NDVI34_36,NDVI35_37,NDVI36_38,SoilMoisture23_25,SoilMoisture24_26,SoilMoisture25_27,SoilMoisture26_28,SoilMoisture27_29,SoilMoisture28_30,SoilMoisture29_31,SoilMoisture30_32,SoilMoisture31_33,SoilMoisture32_34,SoilMoisture33_35,SoilMoisture34_36,SoilMoisture35_37,SoilMoisture36_38,SoilMoisture37_39,SoilMoisture38_40,Predicted_Yield
34579,00402W2,796.0,2019,12.6,19.1,11.4,27.8,29.3,43.0,54.8,54.1,138.5,108.1,109.4,11.3,26.3,31.8,44.2,33.8,38.1,80.2,116.2,122.0,76.9,64.35,92.65,147.05,190.4,226.25,226.1,237.95,257.75,296.3,295.85,310.6,313.5,301.55,277.75,260.55,244.6,225.6,188.85,202.35,168.7,120.05,0,0,2,3,4,2,1,1,3,3,3,4,4,3,1,1,1,1,2,2,1,15,13,9,8,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,8,0.666666666666667,0.694761904761905,0.708095238095238,0.672857142857143,0.611428571428571,0.549047619047619,0.488095238095238,0.358571428571429,0.217619047619048,0.12,0.122380952380952,0.225714285714286,0.424761904761905,0.460952380952381,0.482380952380953,0.412857142857143,0.552857142857143,0.577619047619048,0.6,0.55,0.53952380952381,0.476666666666667,0.451904761904762,0.42952380952381,0.431428571428571,0.420952380952381,0.415714285714286,0.392380952380952,0.407142857142857,0.53047619047619,0.582380952380952,0.559523809523809,0.366190476190476,0.220952380952381,0.176666666666667,0.157619047619048,0.152857142857143,0.141904761904762,0.294285714285714,0.529047619047619,0.768095238095238,0.885714285714286,0.333062103333333,0.37247295,0.416384616666667,0.449631416666667,0.482934931666667,0.529516945,0.585219485,0.627002836666667,0.67721549,0.7111078,0.72903755,0.712122893333333,0.66668076,0.63072391,0.6007857,0.597096443333333,0.597511776666667,0.59074991,0.59670058,11.19397544860844,13.720476468404176,15.216741561889693,15.91490745544438,14.631798426310269,12.703413327535037,8.998107751210574,7.716723601023399,10.92394558588668,12.655469258626344,15.914266268412314,15.67027823130294,18.74148686726892,19.896303812662804,21.18252690633142,21.486820856730187,844.0205484924317
30622,00202W2,796.0,2018,11.1,27.2,124.5,153.6,147.7,55.7,59.0,67.9,80.3,49.9,29.4,5.7,1.8,2.6,2.0,2.2,1.4,10.1,30.6,30.8,42.7,157.3,212.4,240.4,283.3,265.1,287.35,281.5,300.15,307.85,309.8,286.25,280.15,304.6,323.05,292.35,232.9,209.2,176.85,126.65,58.2,17.6,1,3,3,2,0,0,0,1,2,3,2,4,9,12,10,5,3,2,1,0,0,7,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,4,10,17,0.772857142857143,0.73047619047619,0.634285714285714,0.498095238095238,0.315714285714286,0.203333333333334,0.121428571428572,0.0985714285714287,0.0542857142857143,0.0552380952380953,0.218095238095238,0.505238095238095,0.747619047619048,0.908095238095238,0.947142857142857,0.978571428571428,0.975714285714286,0.963333333333333,0.88,0.756190476190476,0.636666666666667,0.19952380952381,0.188571428571429,0.318095238095238,0.557619047619047,0.764285714285714,0.765714285714285,0.657619047619047,0.590952380952381,0.578571428571428,0.483809523809524,0.324761904761905,0.153333333333333,0.0642857142857142,0.03,0.0204761904761905,0.0204761904761905,0.0223809523809524,0.0319047619047619,0.0904761904761903,0.167619047619047,0.269047619047619,0.312276353333333,0.348763736666667,0.400757013333333,0.4714232,0.52940452,0.57635854,0.621330956666667,0.668868736666667,0.708879903333333,0.72562932,0.726886886666667,0.710962633333333,0.6794057,0.624704966666667,0.56374662,0.510093353333333,0.473090453333333,0.4492667,0.413932253333333,20.704657872517917,18.55315558115642,16.46928628285727,16.164380073547374,13.612332661946624,10.238729317983,7.538211663564056,8.024866263071706,6.94641892115276,6.040648619333912,6.569866021474212,9.031482060750337,12.187556584676116,14.773460070292163,17.333562533060718,18.50085449218751,818.5391277160644
22922,00103W2,796.0,2016,14.2,46.5,87.7,100.7,128.8,129.2,118.1,150.9,104.6,103.0,9.6,1.5,2.9,10.7,10.8,15.7,49.7,48.7,71.0,31.3,62.8,176.2,158.25,203.2,219.8,259.1,272.45,266.45,266.35,270.85,298.6,311.35,334.6,316.45,306.85,287.05,282.5,241.75,203.65,154.9,154.45,121.6,2,0,0,2,2,2,0,0,0,2,3,4,2,2,2,3,2,1,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0.702380952380952,0.630952380952381,0.556666666666667,0.486190476190476,0.356666666666666,0.238571428571428,0.108095238095238,0.099047619047619,0.0538095238095238,0.0271428571428571,0.126666666666667,0.345714285714286,0.597619047619048,0.759047619047619,0.846666666666667,0.884761904761905,0.801428571428571,0.710952380952381,0.622380952380952,0.596666666666667,0.575714285714286,0.716666666666667,0.737142857142857,0.786190476190476,0.821428571428571,0.866666666666667,0.849047619047619,0.828095238095238,0.738571428571428,0.722857142857143,0.650952380952381,0.535238095238095,0.316190476190476,0.17,0.106666666666667,0.0928571428571428,0.10047619047619,0.203809523809524,0.315714285714286,0.447142857142857,0.515714285714286,0.654285714285714,0.416707483333333,0.469486603333333,0.509983276666667,0.557121853333333,0.618000666666667,0.658501966666667,0.69863958,0.70982818,0.709378196666667,0.71041337,0.682201883333333,0.665955533333333,0.62324503,0.593279766666667,0.556810516666667,0.53498729,0.519430135,0.509841185,0.498612871666667,15.982649167378732,16.338892300923654,15.624397913614898,15.470216115315743,14.682937304178862,13.365437189737944,11.294579505920398,10.679927508036284,11.949615478515613,12.12710920969644,11.524016062418609,12.401275952657052,13.615126609802234,15.09777482350666,15.757761955261218,17.923406283060697,838.7669879760742
34606,00411W2,796.0,2019,12.6,19.1,11.4,27.8,29.3,43.0,54.8,54.1,138.5,108.1,109.4,11.3,26.3,31.8,44.2,33.8,38.1,80.2,116.2,122.0,76.9,64.35,92.65,147.05,190.4,226.25,226.1,237.95,257.75,296.3,295.85,310.6,313.5,301.55,277.75,260.55,244.6,225.6,188.85,202.35,168.7,120.05,0,0,2,3,4,2,1,1,3,3,3,4,4,3,1,1,1,1,2,2,1,15,13,9,8,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,8,0.666666666666667,0.694761904761905,0.708095238095238,0.672857142857143,0.611428571428571,0.549047619047619,0.488095238095238,0.358571428571429,0.217619047619048,0.12,0.122380952380952,0.225714285714286,0.424761904761905,0.460952380952381,0.482380952380953,0.412857142857143,0.552857142857143,0.577619047619048,0.6,0.55,0.53952380952381,0.476666666666667,0.451904761904762,0.42952380952381,0.431428571428571,0.420952380952381,0.415714285714286,0.392380952380952,0.407142857142857,0.53047619047619,0.582380952380952,0.559523809523809,0.366190476190476,0.220952380952381,0.176666666666667,0.157619047619048,0.152857142857143,0.141904761904762,0.294285714285714,0.529047619047619,0.768095238095238,0.885714285714286,0.356011496666667,0.394205056666667,0.43191174,0.456955536666667,0.46784799,0.48453961,0.52388798,0.599037346666667,0.671884776666667,0.71683121,0.722263156666667,0.6935169,0.64832702,0.59359323,0.561419943333333,0.558461266666667,0.557933906666667,0.55512768,0.558228453333333,11.034009933471731,12.504397074381563,13.770443916320852,15.15642579396571,14.141173362731983,12.175521532694551,8.605269114176485,7.174381732940726,11.1046064694723,13.049971739451143,15.10731379191086,14.484958012898815,17.932684898376518,21.546095530192108,23.82910092671717,25.089742660522514,791.6235326843262
7658,00107W2,796.0,2012,50.4,39.2,42.9,61.9,47.7,52.0,29.0,24.6,24.7,29.7,17.7,9.4,15.4,13.1,11.9,0.7,2.9,9.7,9.7,7.6,0.7,143.3,145.45,157.1,178.8,219.3,239.15,258.9,291.55,346.5,364.1,363.95,333.65,311.55,284.65,289.35,291.9,275.1,233.15,161.6,162.95,113.1,0,0,0,0,0,0,1,1,5,7,8,6,4,3,3,5,5,4,1,1,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,11,0.587142857142857,0.623333333333333,0.589047619047619,0.53,0.456666666666667,0.347619047619048,0.25,0.180476190476191,0.264761904761905,0.348571428571429,0.506190476190476,0.665238095238095,0.738095238095238,0.795238095238095,0.837619047619048,0.952380952380952,0.984285714285714,0.972380952380952,0.921904761904762,0.891428571428571,0.873809523809524,0.749047619047619,0.769047619047619,0.793333333333333,0.835238095238095,0.884285714285715,0.866190476190476,0.768571428571429,0.614761904761905,0.419047619047619,0.275714285714286,0.150952380952381,0.0800000000000001,0.0557142857142857,0.0385714285714286,0.0304761904761905,0.0104761904761905,0.0138095238095238,0.0209523809523809,0.0428571428571428,0.0538095238095238,0.0595238095238095,0.443183086666667,0.559153308333333,0.596841365,0.631261731666667,0.667613323333333,0.687447413333333,0.709654556666667,0.700116026666667,0.691558793333333,0.686624266666667,0.677990483333333,0.64485577,0.597300353333333,0.557610743333333,0.528528463333333,0.501294403333333,0.46843878,0.441961166666667,0.415359246666667,25.099581400553376,22.903238932291657,19.995426177978505,18.06872113545735,19.50358009338378,18.684489568074536,17.08991527557372,15.34372870127359,13.787363370259593,13.757392247517894,13.154921849568677,13.195065180460604,12.45875326792398,12.581075032552071,11.922921498616526,12.50130049387613,474.7724136199951
23122,00402W2,796.0,2016,14.2,46.5,87.7,100.7,128.8,129.2,118.1,150.9,104.6,103.0,9.6,1.5,2.9,10.7,10.8,15.7,49.7,48.7,71.0,31.3,62.8,176.2,158.25,203.2,219.8,259.1,272.45,266.45,266.35,270.85,298.6,311.35,334.6,316.45,306.85,287.05,282.5,241.75,203.65,154.9,154.45,121.6,2,0,0,2,2,2,0,0,0,2,3,4,2,2,2,3,2,1,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0.702380952380952,0.630952380952381,0.556666666666667,0.486190476190476,0.356666666666666,0.238571428571428,0.108095238095238,0.099047619047619,0.0538095238095238,0.0271428571428571,0.126666666666667,0.345714285714286,0.597619047619048,0.759047619047619,0.846666666666667,0.884761904761905,0.801428571428571,0.710952380952381,0.622380952380952,0.596666666666667,0.575714285714286,0.716666666666667,0.737142857142857,0.786190476190476,0.821428571428571,0.866666666666667,0.849047619047619,0.828095238095238,0.738571428571428,0.722857142857143,0.650952380952381,0.535238095238095,0.316190476190476,0.17,0.106666666666667,0.0928571428571428,0.10047619047619,0.203809523809524,0.315714285714286,0.447142857142857,0.515714285714286,0.654285714285714,0.426872433333333,0.49727285,0.547079383333333,0.603198376666667,0.66562983,0.707678163333333,0.72747782,0.7295512,0.73657946,0.74168168,0.714163,0.680175406666667,0.638556286666667,0.61490242,0.586258986666667,0.551241476666667,0.523441613333333,0.50611067,0.4975244,17.598703702290894,18.079902013142945,16.678908983866418,16.33393955230717,15.60149161020919,14.372493426005088,12.177875200907431,11.985209465026898,12.940153121948285,13.227578481038456,12.244895617167195,13.70913855234786,15.199072202046755,16.60048357645675,16.88890329996749,19.072522481282597,887.7163744201661
19112,00106W2,796.0,2015,35.7,33.2,34.2,37.9,39.7,42.0,9.2,17.8,12.9,31.4,22.5,27.2,11.2,10.3,32.4,28.6,183.2,155.2,163.7,8.9,25.6,86.7,93.05,128.0,193.0,228.95,242.55,263.6,278.55,307.7,314.05,320.6,315.75,300.65,310.8,278.85,283.75,256.05,248.55,209.7,178.4,159.35,0,0,0,0,2,2,2,1,4,4,5,3,3,7,6,7,3,3,2,0,0,11,12,8,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0.749523809523809,0.700952380952381,0.64,0.547142857142857,0.516190476190476,0.452857142857143,0.383809523809524,0.343809523809524,0.4,0.419047619047619,0.509047619047619,0.55952380952381,0.714285714285714,0.821904761904762,0.897619047619048,0.843809523809524,0.758095238095238,0.632857142857143,0.615238095238095,0.582380952380952,0.601428571428572,0.690952380952381,0.736666666666667,0.764761904761905,0.806190476190476,0.794285714285714,0.768095238095238,0.656666666666667,0.508095238095238,0.353809523809524,0.26047619047619,0.166190476190476,0.111904761904762,0.050952380952381,0.0261904761904762,0.0380952380952381,0.102857142857143,0.23,0.497142857142857,0.710952380952381,0.857619047619048,0.84047619047619,0.376721845,0.416233975,0.476899751666667,0.54514921,0.600931586666667,0.643193883333333,0.66546641,0.68235606,0.69464598,0.688860436666667,0.68560497,0.661290716666667,0.6365716,0.59628595,0.54738767,0.5184181,0.510884016666667,0.53176852,0.548660793333333,19.781587600707997,16.779639879862454,15.892582893371568,15.285737037658675,15.274154980977364,14.018852869669582,13.153869946797675,12.064420382181789,11.728041648864732,13.23641204833983,15.903555870056138,16.791755676269517,19.01782798767088,19.10865275065103,20.033951441446927,18.357218424479157,666.9867620544434
15290,00105W2,796.0,2014,29.9,32.6,45.0,55.0,39.0,43.4,77.0,74.7,52.5,14.1,46.8,47.7,53.3,23.7,93.9,101.3,106.6,42.6,28.8,17.7,32.9,51.3,114.45,186.4,230.65,220.5,213.1,229.5,258.0,268.7,273.3,278.95,287.2,300.9,317.35,302.1,276.65,230.65,159.15,143.2,163.8,162.3,0,2,3,3,1,0,0,2,3,3,1,0,1,2,2,2,1,1,0,2,2,15,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,0.565714285714286,0.574761904761905,0.607142857142857,0.561428571428572,0.523333333333333,0.463333333333333,0.376666666666667,0.251904761904762,0.163333333333333,0.259523809523809,0.259047619047619,0.221428571428571,0.135238095238095,0.334285714285714,0.430476190476191,0.374285714285714,0.328571428571429,0.390952380952381,0.563809523809524,0.585714285714286,0.581904761904762,0.886190476190476,0.879047619047619,0.85,0.873333333333333,0.855714285714286,0.87,0.843809523809524,0.837142857142857,0.733809523809524,0.584761904761905,0.46,0.385238095238095,0.32,0.20047619047619,0.184285714285714,0.330476190476191,0.538571428571429,0.689047619047619,0.716666666666666,0.703333333333333,0.741428571428571,0.261264303333333,0.292103568333333,0.343523025,0.407838348333333,0.47298144,0.5389523,0.599112016666667,0.64981955,0.67584505,0.682831213333333,0.689043246666667,0.69289118,0.70402342,0.685188873333333,0.662463586666667,0.6248535,0.596662646666667,0.561901866666667,0.535257986666667,25.138715744018537,22.82636833190916,23.11116027832029,22.46670468648273,20.85918553670245,20.37898317972817,18.385152180989564,17.64253139495848,15.683552742004377,17.26358445485431,19.402875900268537,21.60099728902179,21.56090799967446,20.699226379394517,19.320587158203107,19.4117654164632,793.5267661285401
30871,00512W2,796.0,2018,7.7,31.0,133.9,172.3,152.4,47.0,14.4,14.0,33.8,33.5,30.9,10.0,1.5,0.9,0.5,0.5,1.4,7.3,36.0,36.1,45.7,150.9,209.4,237.95,275.2,251.3,275.3,270.35,295.4,305.05,317.8,298.85,287.55,305.05,320.35,299.45,237.1,212.1,173.95,123.9,57.35,15.85,1,2,2,1,0,0,0,2,4,6,4,5,9,12,11,5,2,0,0,0,0,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,11,17,0.815238095238095,0.763333333333333,0.662857142857143,0.534761904761905,0.361904761904762,0.245714285714286,0.169047619047619,0.194285714285714,0.196190476190476,0.213809523809524,0.293333333333334,0.516666666666667,0.759047619047619,0.946190476190476,1.0,0.997142857142857,0.991904761904762,0.982380952380952,0.929523809523809,0.833809523809524,0.733809523809524,0.121904761904762,0.13,0.213809523809524,0.375238095238095,0.514761904761905,0.54,0.457142857142857,0.350952380952381,0.271904761904762,0.196666666666666,0.13,0.0623809523809522,0.0252380952380952,0.0104761904761905,0.01,0.01,0.01,0.0142857142857143,0.0452380952380953,0.0966666666666666,0.156666666666667,0.349288253333333,0.389049123333333,0.435524175,0.502886825,0.571413261666667,0.635354106666667,0.666498806666667,0.69051322,0.691144253333333,0.69651672,0.669092503333333,0.624327116666667,0.563158796666667,0.513812508333333,0.464947285,0.427938505,0.403226643333333,0.38058554,0.33444603,15.174259185791067,12.409173647562715,11.671481132507376,11.75953547159836,10.30997165044154,8.710470040639294,6.208315769831391,4.746518452962292,4.354803721110078,4.449733177820893,4.950846831003877,3.7277383009593215,3.738276799519909,7.489782651265514,12.520085573196464,17.10371239980067,797.8393352355957
8,00103W2,796.0,2010,29.8,59.0,85.2,84.2,99.6,98.1,99.6,46.2,26.5,36.2,41.3,36.7,37.5,29.3,46.9,84.3,124.0,110.6,65.6,22.7,17.7,124.55,157.25,174.8,152.65,196.75,230.25,283.5,287.3,280.95,258.1,287.05,300.0,319.55,297.95,283.0,240.95,202.4,141.85,116.5,118.4,157.75,0,0,0,0,0,0,2,2,2,0,3,5,6,5,4,3,1,0,1,1,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,7,0.595714285714286,0.55952380952381,0.516666666666667,0.445714285714286,0.364761904761905,0.244761904761905,0.128571428571429,0.0861904761904761,0.0995238095238095,0.155714285714286,0.264285714285714,0.398571428571428,0.480952380952381,0.55047619047619,0.593809523809524,0.609523809523809,0.587142857142857,0.55047619047619,0.545714285714286,0.562857142857143,0.592380952380952,0.591428571428571,0.659523809523809,0.750952380952381,0.863809523809524,0.879047619047619,0.858571428571429,0.795714285714286,0.687142857142857,0.523333333333333,0.377142857142857,0.246190476190476,0.17047619047619,0.139523809523809,0.122857142857143,0.166190476190476,0.295238095238095,0.555714285714286,0.78,0.898571428571429,0.887142857142857,0.857142857142857,0.441838416666667,0.508846086666667,0.568693576666667,0.602084088333333,0.621464035,0.648076295,0.699076516666667,0.737266466666667,0.75097315,0.721770736666667,0.703305003333333,0.672151186666667,0.655735053333333,0.633185683333333,0.618223933333333,0.600228613333333,0.5836231,0.580158253333333,0.55548452,22.72231356302896,22.298927307128896,19.526178677876786,15.636068344116202,12.615625381469718,11.826534271240224,10.871750513712556,11.65170160929361,12.561097462971995,13.828763326009105,16.882740020751942,19.27446142832437,21.272135416666657,20.815523147583,20.33182398478189,17.924860318501782,760.4287793884278
