,TWP_ID,ECODISTRICT_ID,YEAR,SumPcpn18_20,SumPcpn19_21,SumPcpn20_22,SumPcpn21_23,SumPcpn22_24,SumPcpn23_25,SumPcpn24_26,SumPcpn25_27,SumPcpn26_28,SumPcpn27_29,SumPcpn28_30,SumPcpn29_31,SumPcpn30_32,SumPcpn31_33,SumPcpn32_34,SumPcpn33_35,SumPcpn34_36,SumPcpn35_37,SumPcpn36_38,SumPcpn37_39,SumPcpn38_40,SumEGDD_C18_20,SumEGDD_C19_21,SumEGDD_C20_22,SumEGDD_C21_23,SumEGDD_C22_24,SumEGDD_C23_25,SumEGDD_C24_26,SumEGDD_C25_27,SumEGDD_C26_28,SumEGDD_C27_29,SumEGDD_C28_30,SumEGDD_C29_31,SumEGDD_C30_32,SumEGDD_C31_33,SumEGDD_C32_34,SumEGDD_C33_35,SumEGDD_C34_36,SumEGDD_C35_37,SumEGDD_C36_38,SumEGDD_C37_39,SumEGDD_C38_40,SumHeatD18_20,SumHeatD19_21,SumHeatD20_22,SumHeatD21_23,SumHeatD22_24,SumHeatD23_25,SumHeatD24_26,SumHeatD25_27,SumHeatD26_28,SumHeatD27_29,SumHeatD28_30,SumHeatD29_31,SumHeatD30_32,SumHeatD31_33,SumHeatD32_34,SumHeatD33_35,SumHeatD34_36,SumHeatD35_37,SumHeatD36_38,SumHeatD37_39,SumHeatD38_40,SumFrostD18_20,SumFrostD19_21,SumFrostD20_22,SumFrostD21_23,SumFrostD22_24,SumFrostD23_25,SumFrostD24_26,SumFrostD25_27,SumFrostD26_28,SumFrostD27_29,SumFrostD28_30,SumFrostD29_31,SumFrostD30_32,SumFrostD31_33,SumFrostD32_34,SumFrostD33_35,SumFrostD34_36,SumFrostD35_37,SumFrostD36_38,SumFrostD37_39,SumFrostD38_40,AvgSI18_20,AvgSI19_21,AvgSI20_22,AvgSI21_23,AvgSI22_24,AvgSI23_25,AvgSI24_26,AvgSI25_27,AvgSI26_28,AvgSI27_29,AvgSI28_30,AvgSI29_31,AvgSI30_32,AvgSI31_33,AvgSI32_34,AvgSI33_35,AvgSI34_36,AvgSI35_37,AvgSI36_38,AvgSI37_39,AvgSI38_40,AvgPrcnAWHC18_20,AvgPrcnAWHC19_21,AvgPrcnAWHC20_22,AvgPrcnAWHC21_23,AvgPrcnAWHC22_24,AvgPrcnAWHC23_25,AvgPrcnAWHC24_26,AvgPrcnAWHC25_27,AvgPrcnAWHC26_28,AvgPrcnAWHC27_29,AvgPrcnAWHC28_30,AvgPrcnAWHC29_31,AvgPrcnAWHC30_32,AvgPrcnAWHC31_33,AvgPrcnAWHC32_34,AvgPrcnAWHC33_35,AvgPrcnAWHC34_36,AvgPrcnAWHC35_37,AvgPrcnAWHC36_38,AvgPrcnAWHC37_39,AvgPrcnAWHC38_40,NDVI18_20,NDVI19_21,NDVI20_22,NDVI21_23,NDVI22_24,NDVI23_25,NDVI24_26,NDVI25_27,NDVI26_28,NDVI27_29,NDVI28_30,NDVI29_31,NDVI30_32,NDVI31_33,NDVI32_34,NDVI33_35,NDVI34_36,NDVI35_37,NDVI36_38,SoilMoisture23_25,SoilMoisture24_26,SoilMoisture25_27,SoilMoisture26_28,SoilMoisture27_29,SoilMoisture28_30,SoilMoisture29_31,SoilMoisture30_32,SoilMoisture31_33,SoilMoisture32_34,SoilMoisture33_35,SoilMoisture34_36,SoilMoisture35_37,SoilMoisture36_38,SoilMoisture37_39,SoilMoisture38_40,Predicted_Yield
13295,02213W2,748.0,2013,6.1,2.3,20.2,36.9,59.2,71.8,85.9,88.5,63.0,49.8,24.1,20.1,5.4,5.1,4.1,1.5,1.5,1.5,24.7,27.9,27.9,116.25,161.3,181.55,171.15,178.2,210.65,236.95,275.9,282.1,275.15,224.6,197.0,169.65,207.7,244.35,298.8,298.1,268.9,213.35,166.25,115.75,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,6,7,7,3,1,0,11,7,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,2,5,7,11,0.663809523809524,0.691904761904762,0.650952380952381,0.603809523809524,0.554285714285714,0.438571428571429,0.293809523809524,0.163333333333333,0.118095238095238,0.092857142857143,0.0714285714285714,0.109047619047619,0.18,0.292857142857143,0.468571428571428,0.681428571428571,0.868095238095238,0.965238095238095,0.959047619047619,0.895238095238095,0.832857142857143,0.44952380952381,0.42,0.409047619047619,0.399523809523809,0.405714285714286,0.422857142857143,0.466666666666667,0.482380952380952,0.468571428571429,0.414761904761905,0.360952380952381,0.287619047619048,0.214761904761905,0.143333333333333,0.0880952380952381,0.0495238095238095,0.0309523809523809,0.0242857142857143,0.0438095238095238,0.0747619047619049,0.106190476190476,0.231197563333333,0.26826906,0.305725713333333,0.347916186666667,0.400074703333333,0.478518938333333,0.582716745,0.680877181666667,0.749531833333333,0.7670378,0.767874946666667,0.757604561666667,0.757869545,0.739822865,0.71750184,0.677934423333333,0.618850056666667,0.54393268,0.466365673333333,22.471973419189563,23.956326802571724,21.76402600606293,19.602819442749134,18.485650380452583,19.75218963623058,19.469929377238063,17.98117446899425,16.765532811482856,16.276151657104602,16.673688252767036,17.371734619140735,17.082472165425727,18.084177335103465,19.738484382629505,21.2820224761964,928.5300498205888
13831,02914W2,748.0,2013,15.1,16.2,13.2,13.0,40.3,78.4,77.0,74.8,58.6,68.9,42.0,21.2,9.4,8.1,8.3,13.4,13.4,12.1,1.3,28.3,32.4,115.65,152.45,178.55,178.05,187.55,207.05,237.9,280.6,286.8,269.45,226.5,211.5,195.8,233.2,262.95,308.15,300.8,272.25,220.0,167.65,110.85,0,0,0,0,0,0,0,2,3,3,1,0,0,1,3,4,5,4,3,1,0,10,7,3,4,2,1,0,0,0,0,0,0,1,1,1,0,0,0,2,3,8,0.668095238095238,0.684285714285714,0.651904761904762,0.633809523809524,0.607142857142857,0.468571428571429,0.31047619047619,0.179047619047619,0.151904761904762,0.132380952380952,0.108571428571429,0.15952380952381,0.257142857142857,0.410476190476191,0.628571428571429,0.818571428571429,0.913333333333333,0.916190476190476,0.898095238095238,0.874285714285714,0.803809523809524,0.40952380952381,0.393809523809524,0.374761904761905,0.341428571428571,0.325238095238095,0.353809523809524,0.393809523809524,0.395714285714286,0.363809523809524,0.329047619047619,0.299523809523809,0.238571428571429,0.166190476190476,0.0933333333333335,0.0480952380952381,0.0252380952380953,0.0333333333333333,0.0452380952380952,0.0504761904761905,0.0719047619047618,0.113809523809524,0.214236773333333,0.242343816666667,0.273814306666667,0.312255,0.360468753333333,0.440171443333333,0.55704553,0.666797886666667,0.739281743333333,0.75479201,0.753169091666667,0.740854075,0.736182208333333,0.729523003333333,0.717397133333333,0.681280516666667,0.602208336666667,0.505309083333333,0.42078445,23.75865427653001,24.62948926289881,23.863662083943737,23.236476262410537,23.21225039164231,24.580182393391983,23.527214686075904,21.885809580485084,19.811717351277725,19.82139841715501,20.09477424621588,20.9004007975261,19.940594991048236,19.568532307942764,20.794136047363335,22.447395960489967,872.383773995238
2361,02908W2,748.0,2010,31.0,53.0,68.0,93.5,80.5,91.0,134.5,117.3,101.8,23.3,34.0,32.0,41.5,33.0,59.5,74.5,99.0,67.0,44.5,16.0,10.5,125.95,149.1,155.6,130.45,189.3,225.95,276.25,275.6,273.55,265.8,286.25,296.95,297.7,265.05,237.6,198.55,165.35,107.0,85.9,99.7,145.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,3,0.59047619047619,0.587619047619047,0.543809523809524,0.472380952380952,0.445714285714286,0.322380952380952,0.205714285714286,0.088095238095238,0.0766666666666665,0.0942857142857142,0.163809523809524,0.266666666666667,0.368571428571428,0.421428571428571,0.418571428571429,0.463333333333334,0.492380952380953,0.56,0.55,0.554761904761905,0.572380952380952,0.857619047619048,0.866190476190476,0.886666666666667,0.925714285714286,0.910476190476191,0.897619047619048,0.877619047619048,0.821904761904762,0.711904761904762,0.535238095238095,0.367619047619048,0.244285714285714,0.185714285714286,0.154761904761905,0.211904761904762,0.32952380952381,0.506190476190476,0.64,0.729523809523809,0.760952380952381,0.747142857142857,0.283549543333333,0.325329371666667,0.367828374166667,0.4090643475,0.459425939166667,0.517508223333333,0.582400566666667,0.619919116666667,0.62459515,0.603208183333333,0.604164466666667,0.616205746666667,0.62417258,0.620776846666667,0.612970466666667,0.604292,0.563298006666667,0.537534256666667,0.495233196666667,31.30238024393725,30.535931269327875,29.461352666219152,29.098196665446043,27.067931493123453,26.28342882792163,24.90542984008797,25.642627080281656,26.917807261149168,28.146627426147543,28.43531862894702,29.93291536966968,30.308478673299238,31.161005020141683,30.483540852864664,29.885649998982828,445.30070749058535
29253,03118W2,748.0,2017,7.9,17.6,13.1,16.1,38.9,44.0,46.6,14.5,13.8,27.9,28.0,24.2,41.4,39.5,38.4,0.4,0.4,10.4,22.0,22.0,71.3,107.4,109.0,163.15,213.65,221.55,193.15,188.15,226.45,272.05,283.45,290.0,274.2,275.9,252.2,246.55,254.0,257.1,221.25,154.45,118.9,91.4,0,0,1,1,1,0,0,0,1,1,2,1,1,0,0,0,1,1,1,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0.663333333333333,0.676666666666667,0.641904761904762,0.608571428571429,0.563809523809524,0.430476190476191,0.290476190476191,0.182380952380953,0.218571428571429,0.25047619047619,0.26,0.321428571428571,0.355238095238095,0.403333333333334,0.42952380952381,0.577142857142857,0.774285714285714,0.900952380952381,0.909047619047619,0.850952380952381,0.74952380952381,0.679047619047619,0.66047619047619,0.645714285714286,0.615714285714286,0.601904761904762,0.595238095238095,0.575714285714286,0.508095238095238,0.410476190476191,0.325714285714286,0.254761904761905,0.18952380952381,0.175714285714286,0.160476190476191,0.151428571428571,0.0985714285714286,0.0652380952380952,0.060952380952381,0.0861904761904762,0.113809523809524,0.215714285714286,0.254407413333333,0.27035924,0.291193306666667,0.32165473,0.394789146666667,0.50514777,0.626479946666667,0.7322759,0.781372976666667,0.7982522,0.798809656666667,0.802941773333333,0.786693483333333,0.71362835,0.611142653333333,0.510775676666667,0.4164024,0.34851288,0.302364956666667,26.120260238647447,25.237500508626287,23.12885729471841,21.41532834370929,20.46232414245604,20.163125991821275,19.98553085327147,21.074314117431623,20.242131551106755,20.079250971476224,19.19658279418944,18.761889139811185,19.484884897867826,20.39656829833983,21.120690663655584,22.93393770853677,982.7606545788497
5880,02511W2,748.0,2011,31.4,53.0,66.0,69.1,99.6,130.6,119.2,66.8,0.0,25.7,42.7,54.6,29.4,22.1,10.2,34.7,25.0,25.0,13.7,13.7,19.9,117.35,106.7,131.7,116.45,171.55,211.9,257.95,275.95,295.25,292.6,289.5,282.5,274.1,259.15,265.3,249.95,268.45,200.7,195.6,161.85,176.85,0,0,0,0,0,0,1,1,2,3,3,2,1,1,4,3,7,4,6,2,2,6,7,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,5,5,0.641428571428571,0.626666666666667,0.584285714285714,0.5209523809523811,0.466190476190476,0.377619047619048,0.26,0.147619047619047,0.103809523809524,0.087142857142857,0.0638095238095238,0.0557142857142857,0.0785714285714286,0.116190476190476,0.177619047619048,0.419047619047619,0.625238095238095,0.81,0.787142857142857,0.783333333333333,0.773809523809524,0.650952380952381,0.66952380952381,0.704761904761905,0.753809523809524,0.79952380952381,0.838095238095238,0.821904761904762,0.763333333333333,0.642380952380952,0.545714285714286,0.472857142857143,0.418095238095238,0.365714285714286,0.310476190476191,0.24952380952381,0.22,0.211904761904762,0.223333333333333,0.234761904761905,0.23952380952381,0.24952380952381,0.265882716666667,0.303145056666667,0.339470223333333,0.3844652,0.430442091666667,0.485484315,0.554627338333333,0.61891748,0.658039736666667,0.685484303333333,0.707808156666667,0.724811216666667,0.726911533333333,0.714791733333333,0.70304225,0.668017433333333,0.6156254,0.55202415,0.493475493333333,32.541861852010165,33.0279108683269,34.32019933064786,31.130963007609125,31.177214940389074,30.31660906473803,30.436624526977614,31.077517827351965,32.09661547342944,31.934064229329504,31.75042597452807,30.942114512125727,30.28499348958341,29.33213297526049,27.5329837799073,28.078072230021235,541.3325369266311
17855,03216W2,748.0,2014,17.9,12.4,55.1,74.7,92.7,118.3,147.6,122.8,55.4,14.2,29.4,29.3,39.4,23.4,73.3,62.1,89.8,45.3,38.7,7.4,31.7,35.95,112.35,173.1,205.0,174.1,174.45,203.65,242.85,257.6,262.85,256.0,268.35,281.0,305.5,288.95,253.4,212.15,140.05,129.05,140.15,147.45,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,17,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0.603333333333333,0.629523809523809,0.63047619047619,0.564285714285714,0.503809523809524,0.433809523809524,0.313809523809524,0.187619047619048,0.0904761904761903,0.0709523809523808,0.0499999999999999,0.030952380952381,0.0466666666666667,0.0947619047619048,0.161904761904762,0.291428571428572,0.438571428571429,0.555238095238095,0.611428571428571,0.633809523809524,0.637619047619047,0.467142857142857,0.447142857142857,0.454285714285714,0.511904761904762,0.57,0.653809523809524,0.725714285714286,0.805238095238095,0.795238095238095,0.718095238095238,0.602857142857143,0.507619047619048,0.437619047619048,0.358571428571429,0.294761904761905,0.298571428571428,0.359047619047619,0.45,0.481428571428571,0.482857142857143,0.498571428571428,0.213597703333333,0.224484406666667,0.250711633333333,0.292917946666667,0.3440485,0.433616356666667,0.528541611666667,0.628824265,0.668822058333333,0.696065623333333,0.71478807,0.735549586666667,0.7482963,0.741483533333333,0.717305716666667,0.65015216,0.57810456,0.510318551666667,0.469738925,32.40144093831373,33.93836847941074,37.77851104736322,34.73799896240228,31.554650624593037,26.88192558288567,26.038925806681245,26.36399141947421,25.36079978942864,25.82430458068841,26.80774434407545,28.583749771118093,29.455946604410737,29.54707781473789,29.108855565388925,29.440664927164644,665.8252781568791
24896,02413W2,748.0,2016,24.6,43.9,57.1,74.3,80.3,45.7,47.0,43.3,79.0,97.0,80.6,47.6,20.3,16.7,16.2,13.4,24.6,19.4,33.6,21.6,61.8,174.5,152.7,195.25,209.45,242.75,254.7,247.65,251.45,247.0,263.75,267.5,276.35,262.55,256.25,249.7,251.4,214.0,183.25,132.85,137.9,94.3,2,0,0,2,2,2,0,0,0,0,0,0,0,1,2,4,3,2,0,0,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,9,0.658095238095238,0.602857142857143,0.542380952380952,0.498571428571429,0.359047619047619,0.243809523809524,0.129523809523809,0.129523809523809,0.0923809523809523,0.0438095238095237,0.009047619047619,0.0180952380952381,0.0414285714285714,0.0852380952380954,0.327142857142857,0.586190476190476,0.799047619047619,0.803809523809524,0.776666666666667,0.751428571428571,0.698095238095238,0.546190476190476,0.554761904761905,0.57952380952381,0.602380952380953,0.631428571428572,0.609047619047619,0.571904761904762,0.528095238095238,0.502380952380952,0.518571428571429,0.514761904761905,0.482380952380952,0.41047619047619,0.334761904761905,0.275238095238095,0.238571428571429,0.243333333333333,0.257142857142857,0.276190476190476,0.292857142857143,0.352857142857143,0.322706633333333,0.362893166666667,0.40358502,0.4604623,0.508878583333333,0.57927614,0.656537493333333,0.711345976666667,0.727231486666667,0.734254383333333,0.748751283333333,0.758260083333333,0.72863268,0.690101413333333,0.63851853,0.58495015,0.538541433333333,0.50497125,0.479735673333333,29.822189331054773,28.157882690429773,25.71358172098804,27.42518043518075,28.349596023559656,28.14918835957853,27.64366340637216,28.434630711873456,27.981241861979253,27.519887288411542,25.699683507283613,26.65924072265633,25.622198104858484,25.89156850179045,26.210135777791425,27.169033050537195,898.8161754976985
33003,03017W2,748.0,2018,12.7,22.8,49.1,43.6,34.3,7.2,3.5,2.4,14.7,19.6,19.0,28.4,22.7,22.7,1.4,3.9,4.3,30.0,43.7,46.2,21.6,123.55,187.15,215.35,238.0,219.25,262.95,270.45,287.25,275.8,286.5,271.65,263.6,280.05,286.55,261.25,207.25,178.25,136.85,85.0,33.3,9.85,0,0,0,1,1,1,0,2,3,5,3,2,3,3,3,0,0,0,0,0,0,10,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,5,11,18,0.714285714285714,0.677142857142857,0.616666666666667,0.542857142857143,0.413333333333333,0.329523809523809,0.325714285714286,0.458095238095238,0.52952380952381,0.605238095238095,0.668571428571429,0.73952380952381,0.699047619047619,0.727619047619048,0.814761904761905,0.930952380952381,0.960952380952381,0.932380952380952,0.848571428571429,0.74952380952381,0.673333333333334,0.424285714285714,0.414285714285714,0.418095238095238,0.43,0.415238095238095,0.357142857142857,0.25952380952381,0.16952380952381,0.112857142857143,0.0723809523809524,0.0466666666666667,0.0357142857142857,0.040952380952381,0.04,0.0271428571428571,0.019047619047619,0.020952380952381,0.040952380952381,0.0890476190476191,0.150952380952381,0.196666666666667,0.265609076666667,0.30528169,0.359967476666667,0.42051281,0.4867696,0.559036411666667,0.637313245,0.705697665,0.73992175,0.737346533333333,0.725918233333333,0.712537333333333,0.682901186666667,0.64413577,0.58534617,0.522072293333333,0.457918743333333,0.40596253,0.36760536,19.81038538614912,19.008218765258825,19.13928286234541,19.23035558064782,18.515838623046907,17.382690429687532,16.9400304158529,17.034779866536493,17.931207656860384,16.63800907135013,15.905138015747104,14.657698949178092,16.5808668136597,19.256514867146844,21.62347602844241,21.645563761393262,904.5463529889729
2287,02807W2,748.0,2010,31.0,53.0,68.0,93.5,80.5,91.0,134.5,117.3,101.8,23.3,34.0,32.0,41.5,33.0,59.5,74.5,99.0,67.0,44.5,16.0,10.5,125.95,149.1,155.6,130.45,189.3,225.95,276.25,275.6,273.55,265.8,286.25,296.95,297.7,265.05,237.6,198.55,165.35,107.0,85.9,99.7,145.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,3,0.59047619047619,0.587619047619047,0.543809523809524,0.472380952380952,0.445714285714286,0.322380952380952,0.205714285714286,0.088095238095238,0.0766666666666665,0.0942857142857142,0.163809523809524,0.266666666666667,0.368571428571428,0.421428571428571,0.418571428571429,0.463333333333334,0.492380952380953,0.56,0.55,0.554761904761905,0.572380952380952,0.857619047619048,0.866190476190476,0.886666666666667,0.925714285714286,0.910476190476191,0.897619047619048,0.877619047619048,0.821904761904762,0.711904761904762,0.535238095238095,0.367619047619048,0.244285714285714,0.185714285714286,0.154761904761905,0.211904761904762,0.32952380952381,0.506190476190476,0.64,0.729523809523809,0.760952380952381,0.747142857142857,0.280913276666667,0.31581784,0.350872883333333,0.393025533333333,0.444622583333333,0.514999225,0.584964425,0.636433186666667,0.661526435,0.661853446666667,0.663789735,0.669954911666667,0.667565086666667,0.660535366666667,0.643898646666667,0.62259247,0.589880823333333,0.5481112,0.489190806666667,30.09572855631516,28.766429901123104,26.75117492675787,25.788030624389705,23.97243436177577,22.568075180053768,20.51137097676601,20.234055201212623,21.205999374389705,21.36498514811204,23.116085688273174,25.15712865193691,26.67640940348313,27.135423660278377,26.391392389933326,25.81962903340663,560.2119933262751
5886,02514W2,748.0,2011,31.4,53.0,66.0,69.1,99.6,130.6,119.2,66.8,0.0,25.7,42.7,54.6,29.4,22.1,10.2,34.7,25.0,25.0,13.7,13.7,19.9,117.35,106.7,131.7,116.45,171.55,211.9,257.95,275.95,295.25,292.6,289.5,282.5,274.1,259.15,265.3,249.95,268.45,200.7,195.6,161.85,176.85,0,0,0,0,0,0,1,1,2,3,3,2,1,1,4,3,7,4,6,2,2,6,7,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,5,5,0.641428571428571,0.626666666666667,0.584285714285714,0.5209523809523811,0.466190476190476,0.377619047619048,0.26,0.147619047619047,0.103809523809524,0.087142857142857,0.0638095238095238,0.0557142857142857,0.0785714285714286,0.116190476190476,0.177619047619048,0.419047619047619,0.625238095238095,0.81,0.787142857142857,0.783333333333333,0.773809523809524,0.650952380952381,0.66952380952381,0.704761904761905,0.753809523809524,0.79952380952381,0.838095238095238,0.821904761904762,0.763333333333333,0.642380952380952,0.545714285714286,0.472857142857143,0.418095238095238,0.365714285714286,0.310476190476191,0.24952380952381,0.22,0.211904761904762,0.223333333333333,0.234761904761905,0.23952380952381,0.24952380952381,0.2832666,0.32170542,0.36003064,0.411681416666667,0.45864586,0.519592541666667,0.586883925,0.660112408333333,0.6992474,0.725989163333333,0.735041813333333,0.73931448,0.722687486666667,0.698041763333333,0.672829606666667,0.633956208333333,0.582708765,0.520173878333333,0.464777583333333,30.485937118530348,30.69912974039721,32.33950551350919,27.948839187622145,29.13064702351896,27.48560523986824,27.372792561849035,26.59772682189949,27.02996190389005,26.861871719360423,27.059476852417067,25.53078587849942,24.913292566935294,24.169335047404047,24.07132275899259,24.337079366048247,597.3700073495061
