,features,importance
136,NDVI34_36,87.37688093257911
132,NDVI30_32,75.48599357398525
121,NDVI19_21,73.8345888253101
127,NDVI25_27,72.60615417485386
133,NDVI31_33,72.2839960135458
120,NDVI18_20,67.10618043575582
140,SoilMoisture24_26,62.25616228702021
145,SoilMoisture29_31,59.729746707576496
134,NDVI32_34,59.331042053394015
131,NDVI29_31,50.94129613846788
141,SoilMoisture25_27,49.96210410514575
137,NDVI35_37,49.50788127410074
144,SoilMoisture28_30,48.439501704556555
148,SoilMoisture32_34,46.43263631123565
153,SoilMoisture37_39,41.062326370357546
126,NDVI24_26,35.75801062688772
123,NDVI21_23,35.36292784120099
135,NDVI33_35,29.176055474310566
149,SoilMoisture33_35,28.949095989002625
147,SoilMoisture31_33,26.259557498686355
152,SoilMoisture36_38,25.922138537878425
122,NDVI20_22,24.0394171974466
130,NDVI28_30,21.81034555226466
128,NDVI26_28,20.28708608810928
125,NDVI23_25,18.523952645098902
129,NDVI27_29,16.57911114691622
139,SoilMoisture23_25,15.830078091889954
142,SoilMoisture26_28,15.429807072861125
31,SumEGDD_C28_30,14.35234495525506
15,SumPcpn33_35,13.509331327144691
33,SumEGDD_C30_32,12.329059817779113
151,SoilMoisture35_37,12.17737620944263
32,SumEGDD_C29_31,12.007179090785563
69,SumFrostD24_26,11.248862588148585
68,SumFrostD23_25,11.149359826656429
146,SoilMoisture30_32,11.003154641399666
4,SumPcpn22_24,10.880857807486311
3,SumPcpn21_23,10.143948304693504
63,SumFrostD18_20,9.782733764403343
12,SumPcpn30_32,9.608127450970757
62,SumHeatD38_40,9.450799068484038
20,SumPcpn38_40,8.78013022215885
8,SumPcpn26_28,8.756628028210685
72,SumFrostD33_35,8.73118106019337
138,NDVI36_38,8.440994197532214
75,SumFrostD36_38,8.047585257938522
55,SumHeatD31_33,7.881599471447052
150,SoilMoisture34_36,7.847897467379954
52,SumHeatD28_30,7.738251772740844
30,SumEGDD_C27_29,7.635599411323777
0,SumPcpn18_20,7.032404065250627
98,AvgSI38_40,6.880164456828652
56,SumHeatD32_34,6.679081838457297
99,AvgPrcnAWHC18_20,6.570837371495822
